愛に生きる－古典の中の女たち,永井　路子,角川書店,1981.05
愛の暗号－平安時代の愛の表現,西野　正彬,文芸社,2002.03
愛の手紙　友人・師弟篇,日本近代文学館,青土社,2003.11
青い鳥,伊藤　整,麦書房,1967
赤いろうそくと人魚ほか,小川　未明,講談社,1995.07
赤毛の子；或る機械　女工哀史抄,平沢　計七,麦書房,1971
「暁」の謎を解く－平安人の時間表現,小林　賢章,角川学芸出版,2013.03
阿川弘之集,阿川　弘之,新潮社,1975
芥川賞９０人のレトリック,彦素　勉,潮文社,1992.01
芥川賞・直木賞１５０回全記録,,文芸春秋,2014.03
芥川・直木賞名鑑　２０００年度新装版－全受賞者,溝川　徳二,名鑑社,1999.11
芥川竜之介　１,菊地　弘,国書刊行会,1994.09
芥川竜之介－１８９２－１９２７,芥川　竜之介,筑摩書房,2007.11
芥川竜之介　２,菊地　弘,国書刊行会,1995.09
芥川龍之介,芥川　竜之介,集英社,1979
浅草十二階－塔の眺めと〈近代〉のまなざし,細馬　宏通,青土社,2001.06
遊ぶ日本－神あそぶゆえ人あそぶ,高橋　睦郎,集英社,2008.09
新しき世界へ　分業の村,上司　小剣,麦書房,1971
あなたに語る日本文学史,大岡　信,新書館,1998.12
あなたに感謝　５,日本文学館編集部,日本文学館,2005.02
あなたの想い出,高平　哲郎,晶文社,2000.12
アニミズムを読む－日本文学における自然・生命・自己,平川　祐弘,新曜社,1994.01
あのとき、文学があった－「文学者追跡」完全版,小山　鉄郎,論創社,2013.03
あの人この人－昭和人物誌,戸板　康二,文芸春秋,1996.11
あの人の台所道具,台所育ち読書会,アスペクト,2014.02
安部公房　豪華版,安部　公房,集英社,1979
安部公房・島尾敏雄集,安部　公房,筑摩書房,1977
安部公房集,安部　公房,新潮社,1980
安部公房全集　００３；１９５１．０５－１９５３．０９,安部　公房,新潮社,1997.1
安部公房全集　００６；１９５６．０３－１９５７．０１,安部　公房,新潮社,1998.01
阿部知二集,阿部　知二,筑摩書房,1977
阿部知二．芹沢光治良　豪華版,阿部　知二,集英社,1979
雨夜の逢引－和語の生活誌,古橋　信孝,大修館書店,1996.01
アメリカ翻訳武者修行,佐藤　紘彰,丸善,1993.01
あやかし考－不思議の中世へ,田中　貴子,平凡社,2004.03
あらすじダイジェスト日本の古典３０を読む,西沢　正史,幻冬舎,2004.05
あらすじで味わう日本文学,大河内　昭爾,広済堂出版,2004.04
あらすじで読む日本の古典,小林　保治,楽書舘,2004.03
あらすじで読む日本の古典,小林　保治,新人物往来社,2011.05
あらすじで読む日本の名著　Ｎｏ．２,小川　義男,楽書舘,2003.11
あらすじで読む日本の名著　Ｎｏ．３,小川　義男,楽書舘,2003.12
あらすじで読む日本の名著,小川　義男,楽書舘,2003.07
有島武郎,有島　武郎,集英社,1973
有島武郎集,有島　武郎,新潮社,1976
有吉佐和子集,有吉　佐和子,新潮社,1978
ある女の生涯,島崎　藤村,麦書房,1971
或る少女の死まで,室生　犀星,麦書房,1971
ある文芸編集者の一生,大村　彦次郎,筑摩書房,2002.09
ある無名作家の肖像,東郷　克美,翰林書房,2007.03
あんな作家こんな作家どんな作家,阿川　佐和子,講談社,1992.09
Ｅ・Ｍ・フォースターその他,松村　達雄,研究社出版,1992.08
「家」と「やど」－建築からの文化論,若山　滋,朝日新聞社,1995.05
異界の方へ－鏡花の水脈,東郷　克美,有精堂出版,1994.02
生きかた名人－たのしい読書術,池内　紀,綜合社,2004.03
生きた書いた愛した－対談・日本文学よもやま話,瀬戸内　寂聴,新潮社,1997.12
生きた書いた愛した－対談・日本文学よもやま話,瀬戸内　寂聴,新潮社,2000.08
異郷の昭和文学－「満州」と近代日本,川村　湊,岩波書店,1990.1
池内式文学館,池内　紀,白水社,2007.07
いざ生きめやも－富士見高原療養所ものがたり,神津　良子,郷土出版社（松本）,2007.02
石川淳　豪華版,石川　淳,集英社,1980
石川　淳集,石川　淳,筑摩書房,1977
石川淳集,石川　淳,新潮社,1980
石川啄木－１８８６－１９１２,石川　啄木,筑摩書房,2009.03
石川達三　豪華版,石川　達三,集英社,1980
石川達三集,石川　達三,筑摩書房,1977
石川達三集,石川　達三,新潮社,1980
石坂洋次郎　豪華版,石坂　洋次郎,集英社,1979
石坂洋次郎集,石坂　洋次郎,新潮社,1978
石原慎太郎集,石原　慎太郎,新潮社,1979
維新前夜の文学,杉浦　明平,岩波書店,1993.07
伊豆の踊子；野菊の墓,川端　康成,講談社,2011.05
伊豆の踊子－小説Ⅰ（日本文学）,川端　康成,学研,
伊豆の踊子；風立ちぬ,川端　康成,講談社,1995.1
泉鏡花－１８７３－１９３９,泉　鏡花,筑摩書房,2008.03
泉鏡花,三田　英彬,国書刊行会,1996.03
和泉式部幻想,川村　二郎,河出書房新社,1996.1
出雲国風土記,神宅　全太理,山川出版社,2005.04
出雲風土記とその社会,佐野　正巳,雄山閣出版,1989.05
一度は読もうよ！日本の名著－日本文学名作案内,宮腰　賢,友人社,2003.12
一枚のはがきから,日本文学館編集部,日本文学館,2005.01
意中の文士たち　上,福永　武彦,人文書院（京都）,1973.07
意中の文士たち　下,福永　武彦,人文書院（京都）,1973.07
一冊で愛の話題作１００冊を読む,酒井　茂之,友人社,1990.11
一冊で日本の名著１００冊を読む－日本文学名作選・付,酒井　茂之,友人社,1988.05
いつも一緒に－犬と作家のものがたり,新潮文庫編集部,新潮社,2013.01
伊藤整　豪華版,伊藤　整,集英社,1983
伊藤整集,伊藤　整,筑摩書房,1977
伊藤整集,伊藤　整,新潮社,1980
